feature,family,split,coverage,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio
QTLD10,price_position,basis_fit,0.9325136612021858,233,56900,0.043557157818868125,0.20006712346446093,0.21771272093390914,0.5879828326180258,0.05924232730730039,0.20022102974787037,0.2958846399996128,0.6523605150214592
QTLD20,price_position,basis_fit,0.9325136612021858,233,56900,0.05467695235616604,0.2051743793891112,0.26649015592961406,0.5708154506437768,0.076819513630143,0.20042230049423962,0.3832882540550965,0.6437768240343348
QTLD30,price_position,basis_fit,0.9325136612021858,233,56900,0.07317423018598512,0.2045844681567851,0.35767246089232646,0.6137339055793991,0.0931153791846111,0.1994128447575572,0.46694775001991085,0.6695278969957081
QTLD60,price_position,basis_fit,0.9325136612021858,233,56900,0.10269386005772908,0.20067470272923857,0.5117429285358869,0.6824034334763949,0.12470193389361983,0.20522471017396146,0.6076360579966934,0.703862660944206
RANK5,price_position,basis_fit,0.9325136612021858,233,56900,-0.053941337036106034,0.18024582151926127,-0.2992653953442233,0.37339055793991416,-0.0660232706596792,0.19067010229881243,-0.34626965561810796,0.33047210300429186
RANK10,price_position,basis_fit,0.9325136612021858,233,56900,-0.04768536231388809,0.1787424225089041,-0.26678256702889114,0.4206008583690987,-0.06177306329888189,0.19149651050054478,-0.3225806211163631,0.38626609442060084
RANK20,price_position,basis_fit,0.9325136612021858,233,56900,-0.0466763739938149,0.18211717153763146,-0.2562985884292081,0.4334763948497854,-0.06850328805607526,0.19428162274600363,-0.35259787872800424,0.3776824034334764
RANK30,price_position,basis_fit,0.9325136612021858,233,56900,-0.05199215480887414,0.18731342063957826,-0.27756769713215357,0.4248927038626609,-0.07815915790240695,0.19502724604213814,-0.40076019883662645,0.3776824034334764
RANK60,price_position,basis_fit,0.9325136612021858,233,56900,-0.06308448995148992,0.17813653578560323,-0.3541356054403991,0.3948497854077253,-0.08784735994742757,0.18751580051771746,-0.4684797745303991,0.3605150214592275
RSV5,price_position,basis_fit,0.9325136612021858,233,56900,-0.049580678753803537,0.18891460399209437,-0.26245021669091484,0.3905579399141631,-0.05662151072266418,0.20036853724063092,-0.28258683475173074,0.34334763948497854
RSV10,price_position,basis_fit,0.9325136612021858,233,56900,-0.04183546333692002,0.1899827074514806,-0.22020669090424622,0.4248927038626609,-0.05546213019516461,0.19896577322186393,-0.2787521154873184,0.3948497854077253
RSV20,price_position,basis_fit,0.9325136612021858,233,56900,-0.03390759594824156,0.2049389875286758,-0.16545214923293738,0.44635193133047213,-0.054418850205284745,0.21327050968342265,-0.25516350238044505,0.3948497854077253
RSV30,price_position,basis_fit,0.9325136612021858,233,56900,-0.05612121503037834,0.21531379696606198,-0.260648485239542,0.44635193133047213,-0.07568620172041489,0.22048385773667392,-0.34327321055316296,0.38626609442060084
RSV60,price_position,basis_fit,0.9325136612021858,233,56900,-0.06003317633891556,0.2039333075209193,-0.2943765148944952,0.4291845493562232,-0.0810930856639244,0.21788911254256463,-0.3721759417790224,0.41201716738197425
IMAX5,price_position,basis_fit,0.9325136612021858,233,56900,-0.030347320606444562,0.14417111169789337,-0.2104951557149434,0.4206008583690987,-0.040563328378779344,0.15191119203168246,-0.26702001239197365,0.3905579399141631
IMAX10,price_position,basis_fit,0.9325136612021858,233,56900,-0.01515282509658977,0.15182698429382213,-0.09980324095264494,0.4678111587982833,-0.02432721975388345,0.16352096042088,-0.1487712626642395,0.44635193133047213
IMAX20,price_position,basis_fit,0.9325136612021858,233,56900,-0.01690925511024999,0.14946119564906288,-0.1131347507078237,0.45493562231759654,-0.03141938828017789,0.15253561182387104,-0.2059806749682628,0.40772532188841204
IMAX30,price_position,basis_fit,0.9325136612021858,233,56900,-0.031144759387368624,0.14206561185354455,-0.21922799600142334,0.45493562231759654,-0.043624640898303896,0.14355465723040156,-0.30388871904230497,0.3948497854077253
IMAX60,price_position,basis_fit,0.9325136612021858,233,56900,-0.026340013220306217,0.12323517447441597,-0.2137377849517671,0.4592274678111588,-0.035454886098314764,0.13567603005675444,-0.2613201910719505,0.4206008583690987
IMIN5,price_position,basis_fit,0.9325136612021858,232,56900,0.025223471628395326,0.15599855876604254,0.16169041450071345,0.5603448275862069,0.028590718953291076,0.1650688273146479,0.173204834725048,0.5689655172413793
IMIN10,price_position,basis_fit,0.9325136612021858,233,56900,0.025740187853594013,0.15732661554181682,0.16360987468615804,0.5579399141630901,0.02542927212443154,0.17101370049216655,0.14869728010824695,0.575107296137339
IMIN20,price_position,basis_fit,0.9325136612021858,233,56900,0.019793840955223824,0.15530409488810948,0.12745215101690982,0.5150214592274678,0.018612059878152603,0.17759872787676728,0.10479838510480319,0.5021459227467812
IMIN30,price_position,basis_fit,0.9325136612021858,233,56900,0.052152140414967144,0.15380392802353007,0.33908197979825666,0.6137339055793991,0.06366799060459363,0.1821720828891456,0.3494936743042925,0.6394849785407726
IMIN60,price_position,basis_fit,0.9325136612021858,233,56900,0.02628062773220365,0.12793866329643439,0.20541583798879726,0.5493562231759657,0.026373619190334804,0.14444426604300387,0.18258681990521428,0.5708154506437768
IMXD5,price_position,basis_fit,0.9325136612021858,233,56900,-0.034446739509900896,0.16107665508746544,-0.21385308436654674,0.4248927038626609,-0.04029971252068728,0.16428028564917949,-0.2453107039681396,0.3905579399141631
IMXD10,price_position,basis_fit,0.9325136612021858,233,56900,-0.025327719929608274,0.1719155029936898,-0.14732656152911314,0.48068669527896996,-0.03690753559275087,0.18421736335737485,-0.20034775723693113,0.4291845493562232
IMXD20,price_position,basis_fit,0.9325136612021858,233,56900,-0.024469668093842312,0.171536898367741,-0.14264958925271115,0.4678111587982833,-0.03642351653397122,0.17689106881450808,-0.2059093021376095,0.4291845493562232
IMXD30,price_position,basis_fit,0.9325136612021858,233,56900,-0.0555108733437898,0.16575592993660632,-0.33489524848384034,0.41630901287553645,-0.06985330702243354,0.16765174133435692,-0.41665721135053,0.3648068669527897
IMXD60,price_position,basis_fit,0.9325136612021858,233,56900,-0.03543643944714958,0.1400454789773947,-0.25303522617013235,0.45064377682403434,-0.04392896051966797,0.14705952659372373,-0.29871550342351494,0.43776824034334766
CORR5,price_volume,basis_fit,0.9300136612021858,233,56802,-0.03743337514559736,0.137711278264275,-0.27182505033292037,0.3948497854077253,-0.0414137205146014,0.1442763658301895,-0.2870443837166272,0.37339055793991416
CORR10,price_volume,basis_fit,0.9312158469945355,233,56856,-0.028952159215093233,0.15160500366334873,-0.19097100039906245,0.40772532188841204,-0.032185527243842625,0.16158044730418858,-0.19919196772150718,0.4034334763948498
CORR20,price_volume,basis_fit,0.9316530054644808,233,56877,-0.024181212638493266,0.13972013949200957,-0.1730689128024823,0.4034334763948498,-0.030125149791628874,0.1556273507263928,-0.1935723357817204,0.4248927038626609
CORR30,price_volume,basis_fit,0.9319398907103825,233,56888,0.006818819040354949,0.14547629733329676,0.04687237141272945,0.5278969957081545,0.0013585167918419724,0.1625571973715863,0.008357161748652479,0.5064377682403434
CORR60,price_volume,basis_fit,0.9321857923497268,233,56895,-0.011250765131639051,0.16900814895512392,-0.06656936485723196,0.5064377682403434,-0.010339396777669551,0.17794033483310276,-0.058105975732636886,0.5150214592274678
CORD5,price_volume,basis_fit,0.9265437158469946,233,56659,-0.025997071893730225,0.12369705897809721,-0.2101672595007572,0.44635193133047213,-0.0366822962910444,0.12711747612808083,-0.2885700488112595,0.3948497854077253
CORD10,price_volume,basis_fit,0.9296174863387978,233,56782,-0.01969277887176926,0.134990986394601,-0.14588217626771025,0.48497854077253216,-0.028453882550273948,0.1418127634042277,-0.2006440172748632,0.4678111587982833
CORD20,price_volume,basis_fit,0.9307513661202186,233,56844,-0.02714305739347619,0.14448369919173534,-0.1878624200883473,0.5107296137339056,-0.03715413420384431,0.15408444561610438,-0.24112838940545914,0.45493562231759654
CORD30,price_volume,basis_fit,0.9312704918032787,233,56862,-0.04290704898748935,0.13867847853748638,-0.3093994788520202,0.3905579399141631,-0.05441253177139031,0.14179472414877303,-0.383741582051388,0.3605150214592275
CORD60,price_volume,basis_fit,0.9318169398907103,233,56885,-0.04338956943685771,0.12602176533532303,-0.34430218717699484,0.31759656652360513,-0.057842531864444546,0.1371804324831137,-0.42165293414980815,0.3090128755364807
CNTP5,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.01974902184310439,0.15191642282967474,-0.12999925534875545,0.45493562231759654,-0.033196735888949454,0.16444912216251048,-0.2018663003633675,0.4248927038626609
CNTP10,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.017618052037056898,0.157861064310776,-0.11160479700284298,0.48068669527896996,-0.0330610336582289,0.16537029333689796,-0.1999212373099916,0.4248927038626609
CNTP20,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.0059139163720719635,0.14950628886347586,-0.03955630506936303,0.5150214592274678,-0.025739191628808045,0.15834110926714032,-0.16255533226929061,0.4678111587982833
CNTP30,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.024481653224542113,0.13731115446458184,-0.1782932589854303,0.44635193133047213,-0.04334593564219292,0.14263401187224495,-0.30389621012004625,0.40772532188841204
CNTP60,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.007476571360767861,0.12647358753326818,-0.05911567392520743,0.48497854077253216,-0.021636863772742973,0.1432239562934738,-0.15107014449739012,0.45493562231759654
CNTN5,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.021119123480653385,0.16602489843416524,0.12720455594211894,0.5493562231759657,0.03237246334063662,0.17795800580901666,0.18191068838666652,0.6051502145922747
CNTN10,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.028839851226686884,0.15649940598274648,0.18428089899501843,0.5622317596566524,0.038858279233058624,0.1619177600281583,0.23998775196927735,0.5965665236051502
CNTN20,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.021721023427294733,0.13661249631294325,0.15899733928832974,0.5708154506437768,0.032262159335647425,0.14516885237270907,0.22223885364070378,0.5708154506437768
CNTN30,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.04320932124905597,0.13342960541926796,0.32383608655127083,0.6223175965665236,0.05147097570078885,0.14213665102184334,0.3621231774546234,0.630901287553648
